"PreTaxCost";"SubscriptionId";"SubscriptionName";"SubscriptionMgPath";"ResourceId";"ConsumedService";"MeterCategory";"ChargeType";"Currency"
"0,0011097828";"4dfa3b56-55bf-4059-802a-24e44a4fb60f";"landingZone";"896470ca-9c6e-4176-9b38-5a655403c638/ESJH/ESJH-landingzones/ESJH-online";"/subscriptions/4dfa3b56-55bf-4059-802a-24e44a4fb60f/providers/microsoft.security/pricings/arm";"arm";"advanced threat protection";"usage";"EUR"
"6,7464E-06";"4dfa3b56-55bf-4059-802a-24e44a4fb60f";"landingZone";"896470ca-9c6e-4176-9b38-5a655403c638/ESJH/ESJH-landingzones/ESJH-online";"/subscriptions/4dfa3b56-55bf-4059-802a-24e44a4fb60f/resourcegroups/cloud-shell-storage-westeurope/providers/microsoft.storage/storageaccounts/csb100320003c7ef7f5";"microsoft.storage";"advanced threat protection";"usage";"EUR"
"9,699008E-06";"4dfa3b56-55bf-4059-802a-24e44a4fb60f";"landingZone";"896470ca-9c6e-4176-9b38-5a655403c638/ESJH/ESJH-landingzones/ESJH-online";"/subscriptions/4dfa3b56-55bf-4059-802a-24e44a4fb60f/resourcegroups/cloud-shell-storage-westeurope/providers/microsoft.storage/storageaccounts/csb100320003c7ef7f5";"microsoft.storage";"storage";"usage";"EUR"
"6,7464E-06";"4dfa3b56-55bf-4059-802a-24e44a4fb60f";"landingZone";"896470ca-9c6e-4176-9b38-5a655403c638/ESJH/ESJH-landingzones/ESJH-online";"/subscriptions/4dfa3b56-55bf-4059-802a-24e44a4fb60f/resourcegroups/projectb/providers/microsoft.storage/storageaccounts/sa6749";"microsoft.storage";"advanced threat protection";"usage";"EUR"
"5,90296E-06";"4dfa3b56-55bf-4059-802a-24e44a4fb60f";"landingZone";"896470ca-9c6e-4176-9b38-5a655403c638/ESJH/ESJH-landingzones/ESJH-online";"/subscriptions/4dfa3b56-55bf-4059-802a-24e44a4fb60f/resourcegroups/projectb/providers/microsoft.storage/storageaccounts/sa6749";"microsoft.storage";"storage";"usage";"EUR"
"0,0032450184";"f28ba982-5ed0-4033-9bdf-e45e4b5df466";"management";"896470ca-9c6e-4176-9b38-5a655403c638/ESJH/ESJH-platform/ESJH-management";"/subscriptions/f28ba982-5ed0-4033-9bdf-e45e4b5df466/providers/microsoft.security/pricings/arm";"arm";"advanced threat protection";"usage";"EUR"

